inventor_id,name,country,patent_count,tier
INV0259,Omar Sato,DE,3,Active (2-4)
INV0262,Min Lee,FR,3,Active (2-4)
INV0267,Omar Tanaka,IN,3,Active (2-4)
INV0269,Park Zhang,DE,3,Active (2-4)
INV0275,Min Sato,DE,3,Active (2-4)
INV0276,Yuki Zhang,FR,3,Active (2-4)
INV0282,Carlos Hassan,CA,3,Active (2-4)
INV0285,Omar Sato,JP,3,Active (2-4)
INV0286,Min Garcia,US,3,Active (2-4)
INV0290,Omar Zhang,FR,3,Active (2-4)
INV0291,Li Rossi,US,3,Active (2-4)
INV0292,Wei Sato,DE,3,Active (2-4)
INV0299,Yuki Tanaka,DE,3,Active (2-4)
INV0300,Wei Smith,IN,3,Active (2-4)
INV0002,Park Wang,FR,2,Active (2-4)
INV0003,Sofia Dupont,CA,2,Active (2-4)
INV0005,James Patel,GB,2,Active (2-4)
INV0008,Kenji Kim,GB,2,Active (2-4)
INV0009,Priya Sato,DE,2,Active (2-4)
INV0023,Min Mueller,DE,2,Active (2-4)
INV0025,Park Rossi,KR,2,Active (2-4)
INV0026,Carlos Zhang,FR,2,Active (2-4)
INV0039,John Mueller,CA,2,Active (2-4)
INV0043,Yuki Smith,GB,2,Active (2-4)
INV0048,Yuki Dupont,CN,2,Active (2-4)
INV0053,Priya Tanaka,TW,2,Active (2-4)
INV0054,Kenji Kim,TW,2,Active (2-4)
INV0060,Emma Rossi,IN,2,Active (2-4)
INV0073,Omar Hassan,DE,2,Active (2-4)
INV0079,Priya Mueller,CA,2,Active (2-4)
INV0082,James Lee,CA,2,Active (2-4)
INV0097,Kenji Rossi,US,2,Active (2-4)
INV0098,John Kim,CA,2,Active (2-4)
INV0101,John Dupont,FR,2,Active (2-4)
INV0102,Alice Brown,DE,2,Active (2-4)
INV0110,Emma Lee,KR,2,Active (2-4)
INV0117,Omar Tanaka,DE,2,Active (2-4)
INV0118,Carlos Garcia,CA,2,Active (2-4)
INV0125,Alice Hassan,JP,2,Active (2-4)
INV0127,Sofia Johnson,GB,2,Active (2-4)
INV0129,Yuki Patel,KR,2,Active (2-4)
INV0136,Wei Garcia,TW,2,Active (2-4)
INV0141,Yuki Kim,KR,2,Active (2-4)
INV0142,John Johnson,US,2,Active (2-4)
INV0150,James Patel,US,2,Active (2-4)
INV0159,Kenji Johnson,US,2,Active (2-4)
INV0161,Priya Brown,US,2,Active (2-4)
INV0162,Min Mueller,TW,2,Active (2-4)
INV0166,Hans Lee,US,2,Active (2-4)
INV0178,Carlos Garcia,CN,2,Active (2-4)
INV0195,Li Wang,TW,2,Active (2-4)
INV0199,Emma Wang,TW,2,Active (2-4)
INV0201,Park Lee,US,2,Active (2-4)
INV0205,John Tanaka,JP,2,Active (2-4)
INV0214,Yuki Wang,IN,2,Active (2-4)
INV0216,Wei Patel,DE,2,Active (2-4)
INV0222,Alice Sato,GB,2,Active (2-4)
INV0230,Park Dupont,JP,2,Active (2-4)
INV0235,Carlos Mueller,KR,2,Active (2-4)
INV0240,James Smith,FR,2,Active (2-4)
INV0245,Hans Sato,CA,2,Active (2-4)
INV0247,Wei Brown,FR,2,Active (2-4)
INV0251,Sofia Brown,TW,2,Active (2-4)
INV0253,Emma Tanaka,TW,2,Active (2-4)
INV0261,Kenji Sato,US,2,Active (2-4)
INV0263,Priya Rossi,FR,2,Active (2-4)
INV0265,Omar Smith,FR,2,Active (2-4)
INV0288,Wei Smith,DE,2,Active (2-4)
INV0293,John Lee,DE,2,Active (2-4)
INV0296,Hans Mueller,CA,2,Active (2-4)
INV0016,John Patel,DE,1,Single (1)
INV0038,Sofia Smith,GB,1,Single (1)
INV0041,Park Tanaka,FR,1,Single (1)
INV0049,Li Lee,US,1,Single (1)
INV0052,James Patel,JP,1,Single (1)
INV0056,Min Sato,IN,1,Single (1)
INV0059,Priya Johnson,FR,1,Single (1)
INV0064,Park Brown,US,1,Single (1)
INV0091,Hans Hassan,GB,1,Single (1)
INV0115,Min Brown,JP,1,Single (1)
INV0120,Sofia Patel,JP,1,Single (1)
INV0128,Hans Wang,DE,1,Single (1)
INV0130,Wei Tanaka,JP,1,Single (1)
INV0131,John Patel,IN,1,Single (1)
INV0132,Park Mueller,IN,1,Single (1)
INV0137,Yuki Sato,IN,1,Single (1)
INV0147,Omar Lee,TW,1,Single (1)
INV0153,Park Garcia,IN,1,Single (1)
INV0169,Wei Garcia,CA,1,Single (1)
INV0180,Emma Dupont,CN,1,Single (1)
INV0191,Hans Brown,JP,1,Single (1)
INV0198,Min Kim,IN,1,Single (1)
INV0207,John Tanaka,US,1,Single (1)
INV0210,John Zhang,GB,1,Single (1)
INV0232,Kenji Garcia,TW,1,Single (1)
INV0258,Sofia Garcia,US,1,Single (1)
INV0271,Carlos Smith,DE,1,Single (1)
INV0289,Sofia Smith,IN,1,Single (1)
